Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Kuwait,KWT,211046996242.16452,208117982711.1408,214233714396.289,251400522777.45898,310942073223.8403,379424031812.80554,451302007896.0558,507428362191.30225,561126721714.0188,491826750639.12787,499645247896.3881,578700707519.8981,650992849101.4973,685566733086.2628,656752673625.6654,488461256880.2163
Kyrgyz Republic,KGZ,13277671911.976883,14201494260.2365,14645473556.655954,16347799643.527538,18311500382.10147,18949210071.49265,20979421599.034435,24398605905.861492,28417306274.286285,29622405236.019238,29485123091.183487,33021619789.471325,38494383684.43052,43149024787.594635,46542913449.41145,46035173464.719955
Lao PDR,LAO,15109758114.268274,16147651514.487226,17617081910.208813,17987845549.27419,20357349409.491695,23078904617.810215,25923133325.644344,30544476196.721195,34837315339.47552,38883775021.77334,42337039905.5162,47743668700.69604,55808700893.76315,63429767663.872986,72263330804.34932,79052521904.89899
Latvia,LVA,34774692958.81193,38024131220.845764,41728108488.39867,47382593012.79242,54406770012.074066,64002372056.179535,75111033808.97664,94142578246.44783,106710886072.13844,94419671669.3584,87629308050.3344,93203759370.70337,99005717316.48354,105401140237.94064,109422992032.25323,105772919523.8776
Lebanon,LBN,80170390049.53937,85337450532.63187,93355342115.92834,94111914335.13791,113131382643.61467,118346056261.02316,123029513790.82288,137018689065.05222,169433463491.8647,188887908025.54556,201284839147.38217,210113788352.15054,231355249288.18677,254421046972.10922,266504029119.70038,279330316628.88293
Lesotho,LSO,6105013884.240583,6731260374.508846,6701830093.654139,7433894699.524959,8133978681.094778,8646739381.137598,9106279243.52696,10205082214.610348,10538194318.421055,10187841627.318165,11088075121.812572,11615614028.83189,11857732224.939499,12246346632.895237,12535817033.37436,13160914254.856665
Liberia,LBR,7556630780.616317,6743331740.056912,7967583953.015422,6885829471.513854,7343079826.937388,7840812379.220586,8726565600.61662,9128734104.800997,9354010810.245016,8545966217.975161,8123248747.097093,9422536966.861807,10652610886.035332,12356918104.653107,12923665576.303572,13008945620.240719
Libya,LBY,171722909302.93085,169492277219.77853,161670146349.0032,186003462393.73376,200329735187.32632,243967847274.95404,285520803939.1709,327944827038.31085,362237104478.0461,320813442154.71497,351124783569.9442,187349290333.97495,344122501197.0389,287268429219.56287,230838845501.91983,224949337270.87524
Liechtenstein,LIE,24955733843.80249,14170623162.020346,11757293559.026478,22715615831.01292,8011130686.841831,6611462265.618964,52237995584.908066,42090989190.762215,25620287205.712246,38599238951.00143,34958455973.18611,32154804098.91953,34939263185.97606,7546835448.224994,15997817632.546392,86669150911.78491
Lithuania,LTU,51856038668.4668,56605190752.35511,63141345695.409424,75164255087.51094,86531543643.11128,99498600621.69928,112754764285.51643,134669619045.91699,153710363199.3661,136732860969.5206,138150400451.1087,152608134738.98416,157935204390.67502,170308829227.69315,178691073433.8152,167413880274.82172
Luxembourg,LUX,65164065611.956856,66475736722.2389,88139659032.07649,88271213280.03667,104120245569.02083,121694079207.19888,108231338402.76202,279053862883.90063,189971648825.3695,153619251942.82092,138981829041.87244,124553236957.41109,49436452009.68375,57514612328.19235,253301162032.536,264059899635.94254
"Macao SAR, China",MAC,26737915626.483273,29377482041.458714,32015244777.080692,35827799501.76686,45420705168.214676,50712339230.58167,58768065950.55912,75361725763.0888,76701126338.09827,78534579009.98291,100243502539.79129,124960835826.55946,143091998600.79758,168818085160.86295,176266674819.54663,146767690118.0657
Madagascar,MDG,34187724370.95311,36345705314.39911,33699292811.367287,38973453084.33423,38509049505.265305,40869842071.38162,41464385987.82879,48339043506.56693,55113443513.28417,53601429889.60116,54689874893.061584,57992071883.97661,58993927413.63979,61625412933.40382,63891882212.04515,62914022803.02206
Malawi,MWI,18815676171.41277,18141433541.682564,21906608658.62692,23540307359.672203,26763167665.308056,27704619523.62737,27298362627.042812,30503757941.60287,34468795427.48424,38494454541.66017,42173180264.474724,46604640100.29,43067966881.48956,43800517929.34719,43908342853.23534,43024620850.86894
